,评论,分类
7802,挺好看的，很实用，包装精美，还有小赠品,颜色分类:M407玉棠绣（微糖豆沙）
7803,非常用心的一件产品，很满意。,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
7804,买给同学当生日礼物的，她说包装不错，还送了个小卡片，好喜欢口红上面的雕文,颜色分类:M116彤心绣（烂番茄色）
7805,涂了一点点就很红，小试一下，不错,颜色分类:M116彤心绣（烂番茄色）
7806,好看 很实惠 送给婆婆的 很喜欢 满意,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
7807,口红的颜色是我喜欢颜色； 由于我嘴唇平时比较干，这款口红的质地我也超喜欢，很丝滑； 有轻微掉色但留色度很好。 🌸冬青服务很棒🌸,颜色分类:M122绛仙绣（红棕焦糖）
7808,送朋友的。颜色巨好看,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
7809,这个颜色是第二支了！其他颜色也没有少买！忠粉一枚！,颜色分类:M116彤心绣（烂番茄色）
7810,颜色超级温柔，上嘴没有干涩感，真是爱了爱了,颜色分类:【剑网3比翼相思联名】 M122 相思绣
7811,口红真的很好，而且服务态度很好，甚至发短信告知我如何储存，女朋友很喜欢,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
7812,服务太太太太贴心了，内附冰袋防融化，包装真的上档次，价格非常适合学生党。物流也超级超级超级快！爱了爱了！,颜色分类:M116彤心绣（烂番茄色）
7813,感觉还挺不错以后会经常买颜色也喜欢送给对象不错的礼物,颜色分类:M116彤心绣（烂番茄色）
7814,送给闺蜜的生日礼物，特别喜欢特别好看，商家也特别细心，用冰袋降温口红！,颜色分类:M122绛仙绣（红棕焦糖）
7815,颜色很好看，太精致了,颜色分类:M122绛仙绣（红棕焦糖）
7816,包装超级好看，买来送闺蜜的的礼物，很拿的出手哦，闺蜜喜欢很久了，高考完就买来送给她，哈哈哈,颜色分类:M116彤心绣（烂番茄色）
7817,买了送母亲的，第一次感觉国货也非常的优秀，雕花工艺一直关注着，感觉花西子这个拼品牌以后一定可以走向国际的,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
7818,真的超级好看，本来打算送人的那，决定这个自己用再给她买一个哈哈哈,颜色分类:M116彤心绣（烂番茄色）
7819,总体来说还不错，包装也用心,颜色分类:M122绛仙绣（红棕焦糖）
7820,颜值绝了   给闺蜜当生日礼物,颜色分类:M119湘妃绣（胡萝卜色）
7821,好看，上妆很自然，雕花边很喜欢，拍照也美美哒支持，好评哦！,颜色分类:M124知音绣（栗子红棕）
7822,挺好看的，很实用，包装精美，还有小赠品,颜色分类:M407玉棠绣（微糖豆沙）
7823,非常用心的一件产品，很满意。,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
7824,买给同学当生日礼物的，她说包装不错，还送了个小卡片，好喜欢口红上面的雕文,颜色分类:M116彤心绣（烂番茄色）
7825,涂了一点点就很红，小试一下，不错,颜色分类:M116彤心绣（烂番茄色）
7826,好看 很实惠 送给婆婆的 很喜欢 满意,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
7827,口红的颜色是我喜欢颜色； 由于我嘴唇平时比较干，这款口红的质地我也超喜欢，很丝滑； 有轻微掉色但留色度很好。 🌸冬青服务很棒🌸,颜色分类:M122绛仙绣（红棕焦糖）
7828,送朋友的。颜色巨好看,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
7829,这个颜色是第二支了！其他颜色也没有少买！忠粉一枚！,颜色分类:M116彤心绣（烂番茄色）
7830,颜色超级温柔，上嘴没有干涩感，真是爱了爱了,颜色分类:【剑网3比翼相思联名】 M122 相思绣
7831,口红真的很好，而且服务态度很好，甚至发短信告知我如何储存，女朋友很喜欢,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
7832,服务太太太太贴心了，内附冰袋防融化，包装真的上档次，价格非常适合学生党。物流也超级超级超级快！爱了爱了！,颜色分类:M116彤心绣（烂番茄色）
7833,感觉还挺不错以后会经常买颜色也喜欢送给对象不错的礼物,颜色分类:M116彤心绣（烂番茄色）
7834,送给闺蜜的生日礼物，特别喜欢特别好看，商家也特别细心，用冰袋降温口红！,颜色分类:M122绛仙绣（红棕焦糖）
7835,颜色很好看，太精致了,颜色分类:M122绛仙绣（红棕焦糖）
7836,包装超级好看，买来送闺蜜的的礼物，很拿的出手哦，闺蜜喜欢很久了，高考完就买来送给她，哈哈哈,颜色分类:M116彤心绣（烂番茄色）
7837,买了送母亲的，第一次感觉国货也非常的优秀，雕花工艺一直关注着，感觉花西子这个拼品牌以后一定可以走向国际的,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
7838,真的超级好看，本来打算送人的那，决定这个自己用再给她买一个哈哈哈,颜色分类:M116彤心绣（烂番茄色）
7839,总体来说还不错，包装也用心,颜色分类:M122绛仙绣（红棕焦糖）
7840,颜值绝了   给闺蜜当生日礼物,颜色分类:M119湘妃绣（胡萝卜色）
7841,好看，上妆很自然，雕花边很喜欢，拍照也美美哒支持，好评哦！,颜色分类:M124知音绣（栗子红棕）
7842,挺好看的，很实用，包装精美，还有小赠品,颜色分类:M407玉棠绣（微糖豆沙）
7843,非常用心的一件产品，很满意。,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
7844,买给同学当生日礼物的，她说包装不错，还送了个小卡片，好喜欢口红上面的雕文,颜色分类:M116彤心绣（烂番茄色）
7845,涂了一点点就很红，小试一下，不错,颜色分类:M116彤心绣（烂番茄色）
7846,好看 很实惠 送给婆婆的 很喜欢 满意,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
7847,口红的颜色是我喜欢颜色； 由于我嘴唇平时比较干，这款口红的质地我也超喜欢，很丝滑； 有轻微掉色但留色度很好。 🌸冬青服务很棒🌸,颜色分类:M122绛仙绣（红棕焦糖）
7848,送朋友的。颜色巨好看,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
7849,这个颜色是第二支了！其他颜色也没有少买！忠粉一枚！,颜色分类:M116彤心绣（烂番茄色）
7850,颜色超级温柔，上嘴没有干涩感，真是爱了爱了,颜色分类:【剑网3比翼相思联名】 M122 相思绣
7851,口红真的很好，而且服务态度很好，甚至发短信告知我如何储存，女朋友很喜欢,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
7852,服务太太太太贴心了，内附冰袋防融化，包装真的上档次，价格非常适合学生党。物流也超级超级超级快！爱了爱了！,颜色分类:M116彤心绣（烂番茄色）
7853,感觉还挺不错以后会经常买颜色也喜欢送给对象不错的礼物,颜色分类:M116彤心绣（烂番茄色）
7854,送给闺蜜的生日礼物，特别喜欢特别好看，商家也特别细心，用冰袋降温口红！,颜色分类:M122绛仙绣（红棕焦糖）
7855,颜色很好看，太精致了,颜色分类:M122绛仙绣（红棕焦糖）
7856,包装超级好看，买来送闺蜜的的礼物，很拿的出手哦，闺蜜喜欢很久了，高考完就买来送给她，哈哈哈,颜色分类:M116彤心绣（烂番茄色）
7857,买了送母亲的，第一次感觉国货也非常的优秀，雕花工艺一直关注着，感觉花西子这个拼品牌以后一定可以走向国际的,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
7858,真的超级好看，本来打算送人的那，决定这个自己用再给她买一个哈哈哈,颜色分类:M116彤心绣（烂番茄色）
7859,总体来说还不错，包装也用心,颜色分类:M122绛仙绣（红棕焦糖）
7860,颜值绝了   给闺蜜当生日礼物,颜色分类:M119湘妃绣（胡萝卜色）
7861,好看，上妆很自然，雕花边很喜欢，拍照也美美哒支持，好评哦！,颜色分类:M124知音绣（栗子红棕）
7862,挺好看的，很实用，包装精美，还有小赠品,颜色分类:M407玉棠绣（微糖豆沙）
7863,非常用心的一件产品，很满意。,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
7864,买给同学当生日礼物的，她说包装不错，还送了个小卡片，好喜欢口红上面的雕文,颜色分类:M116彤心绣（烂番茄色）
7865,涂了一点点就很红，小试一下，不错,颜色分类:M116彤心绣（烂番茄色）
7866,好看 很实惠 送给婆婆的 很喜欢 满意,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
7867,口红的颜色是我喜欢颜色； 由于我嘴唇平时比较干，这款口红的质地我也超喜欢，很丝滑； 有轻微掉色但留色度很好。 🌸冬青服务很棒🌸,颜色分类:M122绛仙绣（红棕焦糖）
7868,送朋友的。颜色巨好看,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
7869,这个颜色是第二支了！其他颜色也没有少买！忠粉一枚！,颜色分类:M116彤心绣（烂番茄色）
7870,颜色超级温柔，上嘴没有干涩感，真是爱了爱了,颜色分类:【剑网3比翼相思联名】 M122 相思绣
7871,口红真的很好，而且服务态度很好，甚至发短信告知我如何储存，女朋友很喜欢,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
7872,服务太太太太贴心了，内附冰袋防融化，包装真的上档次，价格非常适合学生党。物流也超级超级超级快！爱了爱了！,颜色分类:M116彤心绣（烂番茄色）
7873,感觉还挺不错以后会经常买颜色也喜欢送给对象不错的礼物,颜色分类:M116彤心绣（烂番茄色）
7874,送给闺蜜的生日礼物，特别喜欢特别好看，商家也特别细心，用冰袋降温口红！,颜色分类:M122绛仙绣（红棕焦糖）
7875,颜色很好看，太精致了,颜色分类:M122绛仙绣（红棕焦糖）
7876,包装超级好看，买来送闺蜜的的礼物，很拿的出手哦，闺蜜喜欢很久了，高考完就买来送给她，哈哈哈,颜色分类:M116彤心绣（烂番茄色）
7877,买了送母亲的，第一次感觉国货也非常的优秀，雕花工艺一直关注着，感觉花西子这个拼品牌以后一定可以走向国际的,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
7878,真的超级好看，本来打算送人的那，决定这个自己用再给她买一个哈哈哈,颜色分类:M116彤心绣（烂番茄色）
7879,总体来说还不错，包装也用心,颜色分类:M122绛仙绣（红棕焦糖）
7880,颜值绝了   给闺蜜当生日礼物,颜色分类:M119湘妃绣（胡萝卜色）
7881,好看，上妆很自然，雕花边很喜欢，拍照也美美哒支持，好评哦！,颜色分类:M124知音绣（栗子红棕）
7882,挺好看的，很实用，包装精美，还有小赠品,颜色分类:M407玉棠绣（微糖豆沙）
7883,非常用心的一件产品，很满意。,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
7884,买给同学当生日礼物的，她说包装不错，还送了个小卡片，好喜欢口红上面的雕文,颜色分类:M116彤心绣（烂番茄色）
7885,涂了一点点就很红，小试一下，不错,颜色分类:M116彤心绣（烂番茄色）
7886,好看 很实惠 送给婆婆的 很喜欢 满意,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
7887,口红的颜色是我喜欢颜色； 由于我嘴唇平时比较干，这款口红的质地我也超喜欢，很丝滑； 有轻微掉色但留色度很好。 🌸冬青服务很棒🌸,颜色分类:M122绛仙绣（红棕焦糖）
7888,送朋友的。颜色巨好看,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
7889,这个颜色是第二支了！其他颜色也没有少买！忠粉一枚！,颜色分类:M116彤心绣（烂番茄色）
7890,颜色超级温柔，上嘴没有干涩感，真是爱了爱了,颜色分类:【剑网3比翼相思联名】 M122 相思绣
7891,口红真的很好，而且服务态度很好，甚至发短信告知我如何储存，女朋友很喜欢,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
7892,服务太太太太贴心了，内附冰袋防融化，包装真的上档次，价格非常适合学生党。物流也超级超级超级快！爱了爱了！,颜色分类:M116彤心绣（烂番茄色）
7893,感觉还挺不错以后会经常买颜色也喜欢送给对象不错的礼物,颜色分类:M116彤心绣（烂番茄色）
7894,送给闺蜜的生日礼物，特别喜欢特别好看，商家也特别细心，用冰袋降温口红！,颜色分类:M122绛仙绣（红棕焦糖）
7895,颜色很好看，太精致了,颜色分类:M122绛仙绣（红棕焦糖）
7896,包装超级好看，买来送闺蜜的的礼物，很拿的出手哦，闺蜜喜欢很久了，高考完就买来送给她，哈哈哈,颜色分类:M116彤心绣（烂番茄色）
7897,买了送母亲的，第一次感觉国货也非常的优秀，雕花工艺一直关注着，感觉花西子这个拼品牌以后一定可以走向国际的,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
7898,真的超级好看，本来打算送人的那，决定这个自己用再给她买一个哈哈哈,颜色分类:M116彤心绣（烂番茄色）
7899,总体来说还不错，包装也用心,颜色分类:M122绛仙绣（红棕焦糖）
7900,颜值绝了   给闺蜜当生日礼物,颜色分类:M119湘妃绣（胡萝卜色）
7901,好看，上妆很自然，雕花边很喜欢，拍照也美美哒支持，好评哦！,颜色分类:M124知音绣（栗子红棕）
7902,挺好看的，很实用，包装精美，还有小赠品,颜色分类:M407玉棠绣（微糖豆沙）
7903,非常用心的一件产品，很满意。,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
7904,买给同学当生日礼物的，她说包装不错，还送了个小卡片，好喜欢口红上面的雕文,颜色分类:M116彤心绣（烂番茄色）
7905,涂了一点点就很红，小试一下，不错,颜色分类:M116彤心绣（烂番茄色）
7906,好看 很实惠 送给婆婆的 很喜欢 满意,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
7907,口红的颜色是我喜欢颜色； 由于我嘴唇平时比较干，这款口红的质地我也超喜欢，很丝滑； 有轻微掉色但留色度很好。 🌸冬青服务很棒🌸,颜色分类:M122绛仙绣（红棕焦糖）
7908,送朋友的。颜色巨好看,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
7909,这个颜色是第二支了！其他颜色也没有少买！忠粉一枚！,颜色分类:M116彤心绣（烂番茄色）
7910,颜色超级温柔，上嘴没有干涩感，真是爱了爱了,颜色分类:【剑网3比翼相思联名】 M122 相思绣
7911,口红真的很好，而且服务态度很好，甚至发短信告知我如何储存，女朋友很喜欢,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
7912,服务太太太太贴心了，内附冰袋防融化，包装真的上档次，价格非常适合学生党。物流也超级超级超级快！爱了爱了！,颜色分类:M116彤心绣（烂番茄色）
7913,感觉还挺不错以后会经常买颜色也喜欢送给对象不错的礼物,颜色分类:M116彤心绣（烂番茄色）
7914,送给闺蜜的生日礼物，特别喜欢特别好看，商家也特别细心，用冰袋降温口红！,颜色分类:M122绛仙绣（红棕焦糖）
7915,颜色很好看，太精致了,颜色分类:M122绛仙绣（红棕焦糖）
7916,包装超级好看，买来送闺蜜的的礼物，很拿的出手哦，闺蜜喜欢很久了，高考完就买来送给她，哈哈哈,颜色分类:M116彤心绣（烂番茄色）
7917,买了送母亲的，第一次感觉国货也非常的优秀，雕花工艺一直关注着，感觉花西子这个拼品牌以后一定可以走向国际的,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
7918,真的超级好看，本来打算送人的那，决定这个自己用再给她买一个哈哈哈,颜色分类:M116彤心绣（烂番茄色）
7919,总体来说还不错，包装也用心,颜色分类:M122绛仙绣（红棕焦糖）
7920,颜值绝了   给闺蜜当生日礼物,颜色分类:M119湘妃绣（胡萝卜色）
7921,好看，上妆很自然，雕花边很喜欢，拍照也美美哒支持，好评哦！,颜色分类:M124知音绣（栗子红棕）
7922,挺好看的，很实用，包装精美，还有小赠品,颜色分类:M407玉棠绣（微糖豆沙）
7923,非常用心的一件产品，很满意。,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
7924,买给同学当生日礼物的，她说包装不错，还送了个小卡片，好喜欢口红上面的雕文,颜色分类:M116彤心绣（烂番茄色）
7925,涂了一点点就很红，小试一下，不错,颜色分类:M116彤心绣（烂番茄色）
7926,好看 很实惠 送给婆婆的 很喜欢 满意,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
7927,口红的颜色是我喜欢颜色； 由于我嘴唇平时比较干，这款口红的质地我也超喜欢，很丝滑； 有轻微掉色但留色度很好。 🌸冬青服务很棒🌸,颜色分类:M122绛仙绣（红棕焦糖）
7928,送朋友的。颜色巨好看,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
7929,这个颜色是第二支了！其他颜色也没有少买！忠粉一枚！,颜色分类:M116彤心绣（烂番茄色）
7930,颜色超级温柔，上嘴没有干涩感，真是爱了爱了,颜色分类:【剑网3比翼相思联名】 M122 相思绣
7931,口红真的很好，而且服务态度很好，甚至发短信告知我如何储存，女朋友很喜欢,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
7932,服务太太太太贴心了，内附冰袋防融化，包装真的上档次，价格非常适合学生党。物流也超级超级超级快！爱了爱了！,颜色分类:M116彤心绣（烂番茄色）
7933,感觉还挺不错以后会经常买颜色也喜欢送给对象不错的礼物,颜色分类:M116彤心绣（烂番茄色）
7934,送给闺蜜的生日礼物，特别喜欢特别好看，商家也特别细心，用冰袋降温口红！,颜色分类:M122绛仙绣（红棕焦糖）
7935,颜色很好看，太精致了,颜色分类:M122绛仙绣（红棕焦糖）
7936,包装超级好看，买来送闺蜜的的礼物，很拿的出手哦，闺蜜喜欢很久了，高考完就买来送给她，哈哈哈,颜色分类:M116彤心绣（烂番茄色）
7937,买了送母亲的，第一次感觉国货也非常的优秀，雕花工艺一直关注着，感觉花西子这个拼品牌以后一定可以走向国际的,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
7938,真的超级好看，本来打算送人的那，决定这个自己用再给她买一个哈哈哈,颜色分类:M116彤心绣（烂番茄色）
7939,总体来说还不错，包装也用心,颜色分类:M122绛仙绣（红棕焦糖）
7940,颜值绝了   给闺蜜当生日礼物,颜色分类:M119湘妃绣（胡萝卜色）
7941,好看，上妆很自然，雕花边很喜欢，拍照也美美哒支持，好评哦！,颜色分类:M124知音绣（栗子红棕）
7942,挺好看的，很实用，包装精美，还有小赠品,颜色分类:M407玉棠绣（微糖豆沙）
7943,非常用心的一件产品，很满意。,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
7944,买给同学当生日礼物的，她说包装不错，还送了个小卡片，好喜欢口红上面的雕文,颜色分类:M116彤心绣（烂番茄色）
7945,涂了一点点就很红，小试一下，不错,颜色分类:M116彤心绣（烂番茄色）
7946,好看 很实惠 送给婆婆的 很喜欢 满意,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
7947,口红的颜色是我喜欢颜色； 由于我嘴唇平时比较干，这款口红的质地我也超喜欢，很丝滑； 有轻微掉色但留色度很好。 🌸冬青服务很棒🌸,颜色分类:M122绛仙绣（红棕焦糖）
7948,送朋友的。颜色巨好看,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
7949,这个颜色是第二支了！其他颜色也没有少买！忠粉一枚！,颜色分类:M116彤心绣（烂番茄色）
7950,颜色超级温柔，上嘴没有干涩感，真是爱了爱了,颜色分类:【剑网3比翼相思联名】 M122 相思绣
7951,口红真的很好，而且服务态度很好，甚至发短信告知我如何储存，女朋友很喜欢,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
7952,服务太太太太贴心了，内附冰袋防融化，包装真的上档次，价格非常适合学生党。物流也超级超级超级快！爱了爱了！,颜色分类:M116彤心绣（烂番茄色）
7953,感觉还挺不错以后会经常买颜色也喜欢送给对象不错的礼物,颜色分类:M116彤心绣（烂番茄色）
7954,送给闺蜜的生日礼物，特别喜欢特别好看，商家也特别细心，用冰袋降温口红！,颜色分类:M122绛仙绣（红棕焦糖）
7955,颜色很好看，太精致了,颜色分类:M122绛仙绣（红棕焦糖）
7956,包装超级好看，买来送闺蜜的的礼物，很拿的出手哦，闺蜜喜欢很久了，高考完就买来送给她，哈哈哈,颜色分类:M116彤心绣（烂番茄色）
7957,买了送母亲的，第一次感觉国货也非常的优秀，雕花工艺一直关注着，感觉花西子这个拼品牌以后一定可以走向国际的,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
7958,真的超级好看，本来打算送人的那，决定这个自己用再给她买一个哈哈哈,颜色分类:M116彤心绣（烂番茄色）
7959,总体来说还不错，包装也用心,颜色分类:M122绛仙绣（红棕焦糖）
7960,颜值绝了   给闺蜜当生日礼物,颜色分类:M119湘妃绣（胡萝卜色）
7961,好看，上妆很自然，雕花边很喜欢，拍照也美美哒支持，好评哦！,颜色分类:M124知音绣（栗子红棕）
7962,挺好看的，很实用，包装精美，还有小赠品,颜色分类:M407玉棠绣（微糖豆沙）
7963,非常用心的一件产品，很满意。,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
7964,买给同学当生日礼物的，她说包装不错，还送了个小卡片，好喜欢口红上面的雕文,颜色分类:M116彤心绣（烂番茄色）
7965,涂了一点点就很红，小试一下，不错,颜色分类:M116彤心绣（烂番茄色）
7966,好看 很实惠 送给婆婆的 很喜欢 满意,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
7967,口红的颜色是我喜欢颜色； 由于我嘴唇平时比较干，这款口红的质地我也超喜欢，很丝滑； 有轻微掉色但留色度很好。 🌸冬青服务很棒🌸,颜色分类:M122绛仙绣（红棕焦糖）
7968,送朋友的。颜色巨好看,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
7969,这个颜色是第二支了！其他颜色也没有少买！忠粉一枚！,颜色分类:M116彤心绣（烂番茄色）
7970,颜色超级温柔，上嘴没有干涩感，真是爱了爱了,颜色分类:【剑网3比翼相思联名】 M122 相思绣
7971,口红真的很好，而且服务态度很好，甚至发短信告知我如何储存，女朋友很喜欢,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
7972,服务太太太太贴心了，内附冰袋防融化，包装真的上档次，价格非常适合学生党。物流也超级超级超级快！爱了爱了！,颜色分类:M116彤心绣（烂番茄色）
7973,感觉还挺不错以后会经常买颜色也喜欢送给对象不错的礼物,颜色分类:M116彤心绣（烂番茄色）
7974,送给闺蜜的生日礼物，特别喜欢特别好看，商家也特别细心，用冰袋降温口红！,颜色分类:M122绛仙绣（红棕焦糖）
7975,颜色很好看，太精致了,颜色分类:M122绛仙绣（红棕焦糖）
7976,包装超级好看，买来送闺蜜的的礼物，很拿的出手哦，闺蜜喜欢很久了，高考完就买来送给她，哈哈哈,颜色分类:M116彤心绣（烂番茄色）
7977,买了送母亲的，第一次感觉国货也非常的优秀，雕花工艺一直关注着，感觉花西子这个拼品牌以后一定可以走向国际的,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
7978,真的超级好看，本来打算送人的那，决定这个自己用再给她买一个哈哈哈,颜色分类:M116彤心绣（烂番茄色）
7979,总体来说还不错，包装也用心,颜色分类:M122绛仙绣（红棕焦糖）
7980,颜值绝了   给闺蜜当生日礼物,颜色分类:M119湘妃绣（胡萝卜色）
7981,好看，上妆很自然，雕花边很喜欢，拍照也美美哒支持，好评哦！,颜色分类:M124知音绣（栗子红棕）
7982,挺好看的，很实用，包装精美，还有小赠品,颜色分类:M407玉棠绣（微糖豆沙）
7983,非常用心的一件产品，很满意。,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
7984,买给同学当生日礼物的，她说包装不错，还送了个小卡片，好喜欢口红上面的雕文,颜色分类:M116彤心绣（烂番茄色）
7985,涂了一点点就很红，小试一下，不错,颜色分类:M116彤心绣（烂番茄色）
7986,好看 很实惠 送给婆婆的 很喜欢 满意,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
7987,口红的颜色是我喜欢颜色； 由于我嘴唇平时比较干，这款口红的质地我也超喜欢，很丝滑； 有轻微掉色但留色度很好。 🌸冬青服务很棒🌸,颜色分类:M122绛仙绣（红棕焦糖）
7988,送朋友的。颜色巨好看,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
7989,这个颜色是第二支了！其他颜色也没有少买！忠粉一枚！,颜色分类:M116彤心绣（烂番茄色）
7990,颜色超级温柔，上嘴没有干涩感，真是爱了爱了,颜色分类:【剑网3比翼相思联名】 M122 相思绣
7991,口红真的很好，而且服务态度很好，甚至发短信告知我如何储存，女朋友很喜欢,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
7992,服务太太太太贴心了，内附冰袋防融化，包装真的上档次，价格非常适合学生党。物流也超级超级超级快！爱了爱了！,颜色分类:M116彤心绣（烂番茄色）
7993,感觉还挺不错以后会经常买颜色也喜欢送给对象不错的礼物,颜色分类:M116彤心绣（烂番茄色）
7994,送给闺蜜的生日礼物，特别喜欢特别好看，商家也特别细心，用冰袋降温口红！,颜色分类:M122绛仙绣（红棕焦糖）
7995,颜色很好看，太精致了,颜色分类:M122绛仙绣（红棕焦糖）
7996,包装超级好看，买来送闺蜜的的礼物，很拿的出手哦，闺蜜喜欢很久了，高考完就买来送给她，哈哈哈,颜色分类:M116彤心绣（烂番茄色）
7997,买了送母亲的，第一次感觉国货也非常的优秀，雕花工艺一直关注着，感觉花西子这个拼品牌以后一定可以走向国际的,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
7998,真的超级好看，本来打算送人的那，决定这个自己用再给她买一个哈哈哈,颜色分类:M116彤心绣（烂番茄色）
7999,总体来说还不错，包装也用心,颜色分类:M122绛仙绣（红棕焦糖）
8000,颜值绝了   给闺蜜当生日礼物,颜色分类:M119湘妃绣（胡萝卜色）
8001,好看，上妆很自然，雕花边很喜欢，拍照也美美哒支持，好评哦！,颜色分类:M124知音绣（栗子红棕）
8002,挺好看的，很实用，包装精美，还有小赠品,颜色分类:M407玉棠绣（微糖豆沙）
8003,非常用心的一件产品，很满意。,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
8004,买给同学当生日礼物的，她说包装不错，还送了个小卡片，好喜欢口红上面的雕文,颜色分类:M116彤心绣（烂番茄色）
8005,涂了一点点就很红，小试一下，不错,颜色分类:M116彤心绣（烂番茄色）
8006,好看 很实惠 送给婆婆的 很喜欢 满意,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
8007,口红的颜色是我喜欢颜色； 由于我嘴唇平时比较干，这款口红的质地我也超喜欢，很丝滑； 有轻微掉色但留色度很好。 🌸冬青服务很棒🌸,颜色分类:M122绛仙绣（红棕焦糖）
8008,送朋友的。颜色巨好看,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
8009,这个颜色是第二支了！其他颜色也没有少买！忠粉一枚！,颜色分类:M116彤心绣（烂番茄色）
8010,颜色超级温柔，上嘴没有干涩感，真是爱了爱了,颜色分类:【剑网3比翼相思联名】 M122 相思绣
8011,口红真的很好，而且服务态度很好，甚至发短信告知我如何储存，女朋友很喜欢,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
8012,服务太太太太贴心了，内附冰袋防融化，包装真的上档次，价格非常适合学生党。物流也超级超级超级快！爱了爱了！,颜色分类:M116彤心绣（烂番茄色）
8013,感觉还挺不错以后会经常买颜色也喜欢送给对象不错的礼物,颜色分类:M116彤心绣（烂番茄色）
8014,送给闺蜜的生日礼物，特别喜欢特别好看，商家也特别细心，用冰袋降温口红！,颜色分类:M122绛仙绣（红棕焦糖）
8015,颜色很好看，太精致了,颜色分类:M122绛仙绣（红棕焦糖）
8016,包装超级好看，买来送闺蜜的的礼物，很拿的出手哦，闺蜜喜欢很久了，高考完就买来送给她，哈哈哈,颜色分类:M116彤心绣（烂番茄色）
8017,买了送母亲的，第一次感觉国货也非常的优秀，雕花工艺一直关注着，感觉花西子这个拼品牌以后一定可以走向国际的,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
8018,真的超级好看，本来打算送人的那，决定这个自己用再给她买一个哈哈哈,颜色分类:M116彤心绣（烂番茄色）
8019,总体来说还不错，包装也用心,颜色分类:M122绛仙绣（红棕焦糖）
8020,颜值绝了   给闺蜜当生日礼物,颜色分类:M119湘妃绣（胡萝卜色）
8021,好看，上妆很自然，雕花边很喜欢，拍照也美美哒支持，好评哦！,颜色分类:M124知音绣（栗子红棕）
